run_id,seed,num_nodes,num_edges,qaoa_success,qaoa_fallback,qaoa_repair,classical_success,qaoa_difficulty,classical_difficulty,approx_ratio,qaoa_time,classical_time,speedup_factor,path_match
0,1743263325,10,20,True,False,False,True,15.878361403785886,3.4322526992052067,0.21615912447910732,28.599106073379517,0.0001709461212158203,167298.9470013947,False
1,1743263355,10,20,True,False,False,True,18.140162607755695,5.747580782949704,0.3168428479517801,29.62937092781067,2.193450927734375e-05,1350810.75,False
2,1743263385,10,20,True,True,False,True,18.34879782893034,18.34879782893034,1.0,30.332905054092407,8.821487426757812e-06,3438525.0,True
3,1743263417,10,20,True,True,False,True,15.918651357361934,15.918651357361934,1.0,30.37958002090454,9.059906005859375e-06,3353189.3157894737,True
4,1743263448,10,20,True,False,True,True,6.324683264975347,6.324683264975347,1.0,29.12099003791809,1.5735626220703125e-05,1850640.6818181819,True
5,1743263478,10,20,True,True,False,True,17.165813403649203,17.165813403649203,1.0,28.931655883789062,9.059906005859375e-06,3193372.6315789474,True
6,1743263508,10,20,True,False,True,True,12.06113951133558,12.06113951133558,1.0,29.318676948547363,1.3828277587890625e-05,2120197.3103448274,True
7,1743263538,10,20,True,True,False,True,14.409412231675999,14.409412231675999,1.0,30.40373921394348,1.0967254638671875e-05,2772228.804347826,True
8,1743263570,10,20,True,True,False,True,11.200531499913234,11.200531499913234,1.0,32.10843324661255,9.775161743164062e-06,3284695.8536585364,True
9,1743263603,10,20,True,True,False,True,7.685414579058618,7.685414579058618,1.0,34.155601978302,9.298324584960938e-06,3673307.128205128,True
10,1743263638,10,20,True,True,False,True,8.457245528119135,8.457245528119135,1.0,32.608762979507446,7.867813110351562e-06,4144577.727272727,True
11,1743263672,10,20,True,True,False,True,27.093548726020135,27.093548726020135,1.0,35.23779582977295,9.298324584960938e-06,3789693.0256410255,True
12,1743263708,10,20,True,True,False,True,15.635034906737944,15.635034906737944,1.0,32.355777978897095,7.152557373046875e-06,4523665.633333334,True
13,1743263741,10,20,True,False,True,True,10.464954292208352,10.464954292208352,1.0,31.371467113494873,2.2172927856445312e-05,1414854.5161290322,True
14,1743263774,10,20,True,False,False,True,9.07105158671796,9.07105158671796,1.0,32.02326416969299,1.5974044799804688e-05,2004706.0447761193,True
15,1743263807,10,20,True,False,True,True,8.914667208586295,6.594855478389027,0.7397758462634583,31.406919240951538,2.09808349609375e-05,1496933.7159090908,False
16,1743263839,10,20,True,True,False,True,10.569173188495359,10.569173188495359,1.0,33.20812106132507,7.867813110351562e-06,4220756.212121212,True
17,1743263873,10,20,True,True,False,True,25.000284115446213,25.000284115446213,1.0,32.174546003341675,8.106231689453125e-06,3969112.5588235296,True
18,1743263906,10,20,True,True,False,True,7.00447422284064,7.00447422284064,1.0,31.063090085983276,8.106231689453125e-06,3832001.2647058824,True
19,1743263939,10,20,True,False,True,True,16.589575160445598,13.669174398900639,0.823961690802785,32.16258716583252,2.09808349609375e-05,1532950.7727272727,False
20,1743263972,10,20,True,False,True,True,14.289638421039236,10.64746715355613,0.7451180246715982,30.67860198020935,2.002716064453125e-05,1531849.7976190476,False
21,1743264003,10,20,True,True,False,True,18.51569292843635,18.51569292843635,1.0,30.897820949554443,1.1205673217773438e-05,2757337.3191489363,True
22,1743264035,10,20,True,True,False,True,12.981386921511808,12.981386921511808,1.0,31.862733125686646,8.821487426757812e-06,3611945.6486486485,True
23,1743264068,10,20,True,True,False,True,12.633798028122389,12.633798028122389,1.0,31.423521757125854,1.0013580322265625e-05,3138090.5476190476,True
24,1743264101,10,20,True,True,False,True,20.01502967658793,20.01502967658793,1.0,31.969175100326538,1.1920928955078125e-05,2681768.78,True
25,1743264134,10,20,True,True,False,True,20.091270514065506,20.091270514065506,1.0,34.34811592102051,9.298324584960938e-06,3694011.282051282,True
26,1743264169,10,20,True,True,False,True,30.681189047403546,30.681189047403546,1.0,30.84264087677002,1.0967254638671875e-05,2812248.086956522,True
27,1743264201,10,20,True,True,False,True,13.2679652233633,13.2679652233633,1.0,34.02867794036865,8.106231689453125e-06,4197841.764705882,True
28,1743264236,10,20,True,True,False,True,12.92539194839268,12.92539194839268,1.0,33.58817100524902,9.059906005859375e-06,3707342.1052631577,True
29,1743264270,10,20,True,True,False,True,5.509840744939612,5.509840744939612,1.0,34.72500705718994,1.0013580322265625e-05,3467791.3333333335,True
30,1743264306,10,20,True,False,True,True,15.534862436145533,15.534862436145533,1.0,32.42726397514343,1.7881393432617188e-05,1813464.04,True
31,1743264340,10,20,True,False,True,True,17.642757446002967,17.642757446002967,1.0,36.69854998588562,2.7179718017578125e-05,1350218.201754386,True
32,1743264377,10,20,True,True,False,True,18.830109244252725,18.830109244252725,1.0,32.31449103355408,1.1920928955078125e-05,2710735.98,True
33,1743264411,10,20,True,False,True,True,7.863752767650621,7.863752767650621,1.0,32.87349891662598,1.6927719116210938e-05,1941992.2253521127,True
34,1743264444,10,20,True,False,True,True,2.556615144909184,2.556615144909184,1.0,35.01144504547119,1.4066696166992188e-05,2488960.0677966103,True
35,1743264480,10,20,True,True,False,True,16.797713473319483,16.797713473319483,1.0,36.96005702018738,6.9141387939453125e-06,5345576.379310345,True
36,1743264518,10,20,True,True,False,True,4.820015638085817,4.820015638085817,1.0,34.4234619140625,9.775161743164062e-06,3521523.512195122,True
37,1743264554,10,20,True,False,True,True,5.954381573622695,5.954381573622695,1.0,34.371967792510986,1.2874603271484375e-05,2669749.6666666665,True
38,1743264589,10,20,True,True,False,True,16.385747062391573,16.385747062391573,1.0,35.75535988807678,9.059906005859375e-06,3946548.6578947366,True
