run_id,seed,num_nodes,num_edges,qaoa_success,qaoa_fallback,qaoa_repair,classical_success,qaoa_difficulty,classical_difficulty,approx_ratio,qaoa_time,classical_time,speedup_factor,path_match
0,1743262140,10,20,True,True,False,True,10.56636499268765,10.56636499268765,1.0,29.620930671691895,1.0967254638671875e-05,2700851.913043478,True
1,1743262171,10,20,True,False,False,True,23.07461326929994,15.169929182581734,0.6574294011143778,29.128136157989502,2.09808349609375e-05,1388321.1136363635,False
2,1743262201,10,20,True,False,True,True,7.557851828849364,7.557851828849364,1.0,29.783592224121094,1.6927719116210938e-05,1759456.9014084507,True
3,1743262232,10,20,True,False,True,True,17.921589385309804,11.027465282599707,0.6153173719982022,29.51568579673767,1.6927719116210938e-05,1743630.4084507043,False
4,1743262262,10,20,True,True,False,True,19.462813259455885,19.462813259455885,1.0,31.266191959381104,9.298324584960938e-06,3362561.8974358975,True
5,1743262294,10,20,True,True,False,True,9.558667432095957,9.558667432095957,1.0,33.37164521217346,1.0967254638671875e-05,3042844.0217391304,True
6,1743262329,10,20,True,False,True,True,22.528875049616722,18.767000027148868,0.8330198461226827,31.554502248764038,2.09808349609375e-05,1503967.8977272727,False
7,1743262361,10,20,True,False,False,True,4.293958530880064,4.293958530880064,1.0,32.69449281692505,1.4066696166992188e-05,2324248.1694915253,True
8,1743262395,10,20,True,True,False,True,11.267648678426053,11.267648678426053,1.0,32.31512498855591,1.0967254638671875e-05,2946509.9565217393,True
9,1743262428,10,20,True,True,False,True,18.212777867640302,18.212777867640302,1.0,29.858726978302002,1.3113021850585938e-05,2277028.690909091,True
10,1743262459,10,20,True,True,False,True,15.605357330290772,15.605357330290772,1.0,30.57246708869934,1.0251998901367188e-05,2982098.1627906975,True
11,1743262491,10,20,True,False,True,True,10.812296413920372,10.812296413920372,1.0,32.190879106521606,1.811981201171875e-05,1776557.0131578948,True
12,1743262524,10,20,True,False,False,True,9.707727996996589,6.267292219580041,0.6455982513641748,30.663383722305298,1.4781951904296875e-05,2074379.8870967743,False
13,1743262556,10,20,True,True,False,True,34.57195123429693,34.57195123429693,1.0,31.964823961257935,1.0967254638671875e-05,2914569.3260869565,True
14,1743262589,10,20,True,True,False,True,12.707141954112657,12.707141954112657,1.0,33.184226989746094,9.298324584960938e-06,3568839.3846153845,True
15,1743262623,10,20,True,False,True,True,19.59796502345475,19.59796502345475,1.0,32.782148122787476,2.002716064453125e-05,1636884.4642857143,True
16,1743262657,10,20,True,True,False,True,6.5497743856892985,6.5497743856892985,1.0,31.48313879966736,1.1920928955078125e-05,2640997.1,True
17,1743262689,10,20,True,True,False,True,7.792759286032583,7.792759286032583,1.0,30.966960906982422,8.821487426757812e-06,3510401.2972972975,True
18,1743262721,10,20,True,True,False,True,6.702065322899349,6.702065322899349,1.0,32.499021768569946,8.106231689453125e-06,4009140.5,True
19,1743262755,10,20,True,False,True,True,12.939804986407118,12.939804986407118,1.0,32.42896103858948,1.5020370483398438e-05,2158998.746031746,True
